Year,Country,Age Group,F,M
2005,MEX,50-54,4.144318439,-4.00949155
2005,MEX,55-59,3.114045264,-3.031291622
2005,MEX,60-64,2.500831113,-2.437709994
2005,MEX,65-69,1.93884429,-1.8054416
2005,MEX,70-74,1.57633557,-1.363466416
2005,MEX,75-79,1.182901042,-0.957301666
2005,MEX,80+,1.381810545,-1.023380145
2010,MEX,0-4,9.398236335,-10.25830287
2010,MEX,5-9,9.523802741,-10.30186338
2010,MEX,10-14,9.449204996,-10.13366333
2010,MEX,15-19,9.434260047,-10.02099317
2010,MEX,20-24,8.804124833,-8.875286015
2010,MEX,25-29,8.288874198,-8.11777762
2010,MEX,30-34,7.842023992,-7.487362829
2010,MEX,35-39,7.416763987,-7.084016948
2010,MEX,40-44,6.532647017,-6.151335018
2010,MEX,45-49,5.567594256,-5.342325331
2010,MEX,50-54,4.627529836,-4.389077635
2010,MEX,55-59,3.74343346,-3.549879389
2010,MEX,60-64,2.768266944,-2.625111364
2010,MEX,65-69,2.168330551,-2.043715141
2010,MEX,70-74,1.616709524,-1.442693577
2010,MEX,75-79,1.23790449,-1.015638222
2010,MEX,80+,1.580292795,-1.160958169
2015,MEX,0-4,8.815970621,-9.640045165
2015,MEX,5-9,8.766147352,-9.575582484
2015,MEX,10-14,8.90105499,-9.624790317
2015,MEX,15-19,8.78898556,-9.353919866
2015,MEX,20-24,8.755529673,-9.181396281
2015,MEX,25-29,8.154651928,-8.108670561
2015,MEX,30-34,7.679297598,-7.422361828
2015,MEX,35-39,7.298101891,-6.901638081
2015,MEX,40-44,6.888589697,-6.512823209
2015,MEX,45-49,6.043217855,-5.624808507
2015,MEX,50-54,5.1174128,-4.839802201
2015,MEX,55-59,4.210072645,-3.918223814
2015,MEX,60-64,3.351270909,-3.098826561
2015,MEX,65-69,2.416300056,-2.216245277
2015,MEX,70-74,1.819068073,-1.642316662
2015,MEX,75-79,1.275118816,-1.0784444
2015,MEX,80+,1.719209535,-1.260104784
2018,MEX,0-4,8.444467387,-9.226052234
2018,MEX,5-9,8.470012617,-9.26089299
2018,MEX,10-14,8.507284237,-9.255387554
2018,MEX,15-19,8.539860648,-9.154742422
2018,MEX,20-24,8.464428621,-8.931247332
2018,MEX,25-29,8.232339144,-8.422257002
2018,MEX,30-34,7.638830194,-7.434431484
2018,MEX,35-39,7.230042927,-6.870359254
2018,MEX,40-44,6.876451907,-6.449342482
2018,MEX,45-49,6.310188203,-5.880740176
2018,MEX,50-54,5.404284163,-4.999804037
2018,MEX,55-59,4.489420911,-4.17730685
2018,MEX,60-64,3.615289806,-3.291740183
2018,MEX,65-69,2.720665436,-2.453940217
2018,MEX,70-74,1.912678312,-1.699379589
2018,MEX,75-79,1.363031649,-1.168492272
2018,MEX,80+,1.780723839,-1.323883923
2000,PRY,0-4,13.24607314,-13.41655665
2000,PRY,5-9,12.81784428,-12.96909374
2000,PRY,10-14,12.18371929,-12.30878421
2000,PRY,15-19,10.8963632,-11.02592886
2000,PRY,20-24,8.990479735,-9.064474496
2000,PRY,25-29,7.377480554,-7.346596046
2000,PRY,30-34,6.597371058,-6.540785174
2000,PRY,35-39,5.805325002,-5.814685343
2000,PRY,40-44,5.040660576,-5.126534336
2000,PRY,45-49,4.277559725,-4.418279708
2000,PRY,50-54,3.293537173,-3.365857018
2000,PRY,55-59,2.585161445,-2.583926137
2000,PRY,60-64,2.120322051,-2.058455257
2000,PRY,65-69,1.573642855,-1.448497338
2000,PRY,70-74,1.373276445,-1.15553242
2000,PRY,75-79,0.95050103,-0.752793589
2000,PRY,80+,0.870682436,-0.603219689
2005,PRY,0-4,11.57030299,-11.70947738
2005,PRY,5-9,12.05182198,-12.18443178
2005,PRY,10-14,11.67459432,-11.79574357
2005,PRY,15-19,11.05700829,-11.1523486
2005,PRY,20-24,9.762016959,-9.863867823
2005,PRY,25-29,7.883273241,-7.970069588
2005,PRY,30-34,6.363445158,-6.389480868
2005,PRY,35-39,5.819665298,-5.78243876
2005,PRY,40-44,5.209962159,-5.19771562
2005,PRY,45-49,4.521534764,-4.565581582
2005,PRY,50-54,3.813155985,-3.899225126
2005,PRY,55-59,2.899752317,-2.935688232
2005,PRY,60-64,2.237519834,-2.198316879
2005,PRY,65-69,1.784393204,-1.683053072
2005,PRY,70-74,1.275632907,-1.121325233
2005,PRY,75-79,1.056167681,-0.83628496
2005,PRY,80+,1.019752917,-0.714950935
2010,PRY,0-4,10.93603623,-11.03866579
2010,PRY,5-9,10.71483016,-10.80729597
2010,PRY,10-14,11.12525521,-11.2433524
2010,PRY,15-19,10.72346211,-10.82170742
2010,PRY,20-24,10.03639102,-10.12319271
2010,PRY,25-29,8.763226436,-8.860932358
2010,PRY,30-34,6.979245521,-7.092981216
2010,PRY,35-39,5.551813232,-5.610238295
2010,PRY,40-44,5.13581812,-5.114994231
2010,PRY,45-49,4.576532547,-4.567453601
2010,PRY,50-54,3.932262927,-3.965508181
2010,PRY,55-59,3.365974069,-3.398427138
2010,PRY,60-64,2.534928475,-2.522129282
2010,PRY,65-69,1.919649197,-1.831764279
2010,PRY,70-74,1.48710679,-1.334349057
2010,PRY,75-79,1.010753136,-0.83149021
2010,PRY,80+,1.206714815,-0.835517863
2015,PRY,0-4,10.21638578,-10.31551212
2015,PRY,5-9,10.15854897,-10.23298286
2015,PRY,10-14,9.921265835,-10.02024009
2015,PRY,15-19,10.26853023,-10.37991375
2015,PRY,20-24,9.813110996,-9.905950716
2015,PRY,25-29,9.122509022,-9.198002962
2015,PRY,30-34,7.90854478,-8.010862485
2015,PRY,35-39,6.237639284,-6.35669273
2015,PRY,40-44,4.971926316,-5.031611736
2015,PRY,45-49,4.584571878,-4.560998061
2015,PRY,50-54,4.05256453,-4.031094936
2015,PRY,55-59,3.504423755,-3.498488824
2015,PRY,60-64,2.968885317,-2.953131661
2015,PRY,65-69,2.19049315,-2.124048923
2015,PRY,70-74,1.609963761,-1.469778981
2015,PRY,75-79,1.187968117,-1.003425449
2015,PRY,80+,1.282668286,-0.907263721
2018,PRY,0-4,9.89298103,-10.01829491
2018,PRY,5-9,9.792016426,-9.887847186
2018,PRY,10-14,9.593626244,-9.690875077
2018,PRY,15-19,9.583038415,-9.695426894
2018,PRY,20-24,9.659639312,-9.763760694
2018,PRY,25-29,9.063064855,-9.139398408
2018,PRY,30-34,8.219431299,-8.29717089
2018,PRY,35-39,6.835555218,-6.940644588
2018,PRY,40-44,5.3101766,-5.402808952
2018,PRY,45-49,4.4569789,-4.466435155
2018,PRY,50-54,4.116267234,-4.068787286
2018,PRY,55-59,3.585939831,-3.549145064
2018,PRY,60-64,3.066521986,-3.030577185
2018,PRY,65-69,2.443741189,-2.372203495
2018,PRY,70-74,1.732952717,-1.600062651
2018,PRY,75-79,1.239711964,-1.057830977
2018,PRY,80+,1.408356781,-1.018730586
2000,PER,0-4,11.06414679,-11.61267398
2000,PER,5-9,11.40467286,-11.93519498
2000,PER,10-14,11.16426605,-11.70272939
2000,PER,15-19,10.17756567,-10.78454183
2000,PER,20-24,9.199494317,-9.705923893
2000,PER,25-29,8.403272999,-8.612204489
2000,PER,30-34,7.477736935,-7.38674144
2000,PER,35-39,6.563467586,-6.303703749
2000,PER,40-44,5.526967577,-5.219081617
2000,PER,45-49,4.596389753,-4.275376212
2000,PER,50-54,3.604323554,-3.278353218
2000,PER,55-59,2.946272093,-2.642423652
2000,PER,60-64,2.489740319,-2.200319026
2000,PER,65-69,2.018362106,-1.738488484
2000,PER,70-74,1.493144826,-1.232376975
2000,PER,75-79,1.011750919,-0.787171696
2000,PER,80+,0.858425637,-0.582695368
2005,PER,0-4,10.31267178,-10.76960241
2005,PER,5-9,10.34033874,-10.83007979
2005,PER,10-14,10.67078222,-11.1715517
2005,PER,15-19,10.07209943,-10.55734853
2005,PER,20-24,9.217028452,-9.512497735
2005,PER,25-29,8.356547177,-8.51729137
2005,PER,30-34,7.632604453,-7.599837527
2005,PER,35-39,6.823685642,-6.575875254
2005,PER,40-44,5.911377113,-5.68252023
2005,PER,45-49,4.912224655,-4.683117446
2005,PER,50-54,4.101717105,-3.835735885
2005,PER,55-59,3.11861664,-2.906851658
2005,PER,60-64,2.568311677,-2.348368007
2005,PER,65-69,2.100313433,-1.896371191
2005,PER,70-74,1.637389134,-1.435556857
2005,PER,75-79,1.162263032,-0.964420627
2005,PER,80+,1.062029323,-0.712973781
2010,PER,0-4,10.15887212,-10.54278464
2010,PER,5-9,9.607613307,-10.07832789
2010,PER,10-14,9.65092164,-10.15548057
2010,PER,15-19,9.406366634,-10.53208261
2010,PER,20-24,8.840809134,-9.497965959
2010,PER,25-29,8.22150615,-8.306324371
2010,PER,30-34,7.568830395,-7.40413485
2010,PER,35-39,6.998188306,-6.668203226
2010,PER,40-44,6.289458389,-5.830640382
2010,PER,45-49,5.449044479,-5.113825929
2010,PER,50-54,4.522749106,-4.186142241
2010,PER,55-59,3.751272607,-3.421400136
2010,PER,60-64,2.818044328,-2.550459969
2010,PER,65-69,2.275072024,-2.053171713
2010,PER,70-74,1.800769161,-1.573390833
2010,PER,75-79,1.311109464,-1.102833452
2010,PER,80+,1.329372759,-0.982831233
2015,PER,0-4,8.931163835,-9.449762165
2015,PER,5-9,9.481505765,-9.980172949
2015,PER,10-14,8.876245699,-9.455240127
2015,PER,15-19,8.725059453,-9.183905893
2015,PER,20-24,8.579499985,-9.266927745
2015,PER,25-29,7.971305909,-8.245621512
2015,PER,30-34,7.441365125,-7.578347578
2015,PER,35-39,7.023170981,-6.797661987
2015,PER,40-44,6.57511514,-6.119233891
2015,PER,45-49,5.863044091,-5.369308148
2015,PER,50-54,5.063832961,-4.655355897
2015,PER,55-59,4.169416486,-3.872436831
2015,PER,60-64,3.461955091,-3.21903952
2015,PER,65-69,2.57829013,-2.372254948
2015,PER,70-74,2.041679364,-1.819132757
2015,PER,75-79,1.518434642,-1.339411294
2015,PER,80+,1.698915342,-1.276186757
2018,PER,0-4,8.365211054,-8.87287496
2018,PER,5-9,8.565165372,-8.746548267
2018,PER,10-14,8.481992871,-8.554247681
2018,PER,15-19,8.172795854,-7.945136359
2018,PER,20-24,8.621187109,-8.320566274
2018,PER,25-29,8.330670215,-8.629751626
2018,PER,30-34,7.73753285,-8.144279196
2018,PER,35-39,7.198367874,-7.538245943
2018,PER,40-44,6.610515344,-6.743701463
2018,PER,45-49,5.970112549,-5.956666463
2018,PER,50-54,5.262696056,-5.119438178
2018,PER,55-59,4.433784244,-4.29642314
2018,PER,60-64,3.678853915,-3.532590103
2018,PER,65-69,2.936716489,-2.771211966
2018,PER,70-74,2.136079477,-1.95435936
2018,PER,75-79,1.598075798,-1.412399026
2018,PER,80+,1.900242929,-1.461559994
2000,SLV,0-4,12.06102883,-13.55789735
2000,SLV,5-9,11.97212867,-13.42511367
2000,SLV,10-14,10.67516281,-11.73771028
2000,SLV,15-19,9.614914518,-10.11627563
2000,SLV,20-24,8.907973096,-8.8878327
2000,SLV,25-29,7.942130026,-7.500973136
2000,SLV,30-34,7.015412201,-6.378023773
2000,SLV,35-39,6.199909691,-5.540880166
2000,SLV,40-44,5.31310355,-4.695803387
2000,SLV,45-49,4.686968541,-4.046164717
2000,SLV,50-54,3.778404306,-3.343320904
2000,SLV,55-59,3.27193881,-2.992709943
2000,SLV,60-64,2.755315168,-2.655109386
2000,SLV,65-69,2.177775418,-2.074295393
2000,SLV,70-74,1.566451642,-1.429839729
2000,SLV,75-79,1.106484239,-0.934386671
2000,SLV,80+,0.954898487,-0.683663165
2005,SLV,0-4,10.09880284,-11.55388982
2005,SLV,5-9,11.34698014,-12.95950807
2005,SLV,10-14,11.17638189,-12.6178835
2005,SLV,15-19,9.715407231,-10.4609543
2005,SLV,20-24,8.586146108,-8.554185126
2005,SLV,25-29,7.959481257,-7.450552197
2005,SLV,30-34,7.148183399,-6.449842845
2005,SLV,35-39,6.360276814,-5.645287205
2005,SLV,40-44,5.624368396,-4.946528554
2005,SLV,45-49,4.814082052,-4.19047474
2005,SLV,50-54,4.24684368,-3.613230301
2005,SLV,55-59,3.39337831,-2.963285052
2005,SLV,60-64,2.899948887,-2.619652552
2005,SLV,65-69,2.388659911,-2.277854883
2005,SLV,70-74,1.825341157,-1.71130785
2005,SLV,75-79,1.226840664,-1.086980981
2005,SLV,80+,1.18887726,-0.898582023
2010,SLV,0-4,9.107176955,-10.59348111
2010,SLV,5-9,9.564535866,-11.1114756
2010,SLV,10-14,10.74848698,-12.40726484
2010,SLV,15-19,10.34104521,-11.47669264
2010,SLV,20-24,8.807520604,-9.003823366
2010,SLV,25-29,7.75748005,-7.25356307
2010,SLV,30-34,7.258462122,-6.510895858
2010,SLV,35-39,6.57463411,-5.807559186
2010,SLV,40-44,5.844143086,-5.103812465
2010,SLV,45-49,5.166577741,-4.473840407
2010,SLV,50-54,4.41708382,-3.791416238
2010,SLV,55-59,3.872569456,-3.245709264
2010,SLV,60-64,3.046879749,-2.614848765
2010,SLV,65-69,2.547032939,-2.25438146
2010,SLV,70-74,2.039818284,-1.89370913
2010,SLV,75-79,1.468319192,-1.326987141
2010,SLV,80+,1.43823383,-1.130539464
2015,SLV,0-4,8.490276619,-10.01516696
2015,SLV,5-9,8.64483248,-10.18637099
2015,SLV,10-14,9.067317001,-10.61424658
2015,SLV,15-19,10.04413153,-11.40060163
2015,SLV,20-24,9.563722137,-10.17510757
2015,SLV,25-29,8.099425466,-7.848252438
2015,SLV,30-34,7.145948004,-6.422538412
2015,SLV,35-39,6.730476542,-5.918071541
2015,SLV,40-44,6.091333293,-5.299726416
2015,SLV,45-49,5.411693364,-4.653609389
2015,SLV,50-54,4.779593016,-4.076989364
2015,SLV,55-59,4.057516625,-3.425324681
2015,SLV,60-64,3.514616407,-2.886630451
2015,SLV,65-69,2.703847214,-2.266738708
2015,SLV,70-74,2.201413832,-1.89020415
2015,SLV,75-79,1.669197336,-1.48979786
2015,SLV,80+,1.78465913,-1.430622861
2018,SLV,0-4,8.270299022,-9.817075844
2018,SLV,5-9,8.275371872,-9.810066874
2018,SLV,10-14,8.445063091,-9.929617981
2018,SLV,15-19,9.090224003,-10.38732698
2018,SLV,20-24,9.613607201,-10.44077453
2018,SLV,25-29,8.628975883,-8.668103007
2018,SLV,30-34,7.306223008,-6.720273662
2018,SLV,35-39,6.67135441,-5.849168291
2018,SLV,40-44,6.238754695,-5.409131193
2018,SLV,45-49,5.576850447,-4.779187544
2018,SLV,50-54,4.939958573,-4.184986321
2018,SLV,55-59,4.273949128,-3.589157422
2018,SLV,60-64,3.627439366,-2.982732023
2018,SLV,65-69,2.982454391,-2.413743162
2018,SLV,70-74,2.262520262,-1.875979097
2018,SLV,75-79,1.759340494,-1.496431737
2018,SLV,80+,2.037614154,-1.646244321
2000,URY,0-4,7.70981556,-8.590067083
2000,URY,5-9,7.959016413,-8.853533235
2000,URY,10-14,7.601705937,-8.448406568
2000,URY,15-19,7.293605187,-8.075520739
2000,URY,20-24,7.770116446,-8.539340669
2000,URY,25-29,7.22180452,-7.898009408
2000,URY,30-34,6.468189386,-6.781779321
2000,URY,35-39,6.526855785,-6.606944353
2000,URY,40-44,6.237493258,-6.22136136
2000,URY,45-49,5.527950891,-5.580714751
2000,URY,50-54,5.174668258,-5.038782367
2000,URY,55-59,4.763127847,-4.543281769
2000,URY,60-64,4.517954837,-4.007635726
2000,URY,65-69,4.439382724,-3.790414637
2000,URY,70-74,4.011964443,-3.062692869
2000,URY,75-79,3.04995225,-2.067023598
2000,URY,80+,3.72639626,-1.894491547
2005,URY,0-4,7.19625217,-8.06263589
2005,URY,5-9,7.49891677,-8.379971593
2005,URY,10-14,7.72568258,-8.619361909
2005,URY,15-19,7.339383911,-8.16953777
2005,URY,20-24,6.887887891,-7.586476319
2005,URY,25-29,7.231555285,-7.860814127
2005,URY,30-34,6.807394461,-7.309267825
2005,URY,35-39,6.193050463,-6.360381028
2005,URY,40-44,6.315360926,-6.393269113
2005,URY,45-49,6.037646963,-6.033185139
2005,URY,50-54,5.333736576,-5.339539841
2005,URY,55-59,4.958313826,-4.733824928
2005,URY,60-64,4.502048686,-4.142650667
2005,URY,65-69,4.185367528,-3.491379203
2005,URY,70-74,3.980062755,-3.087486052
2005,URY,75-79,3.397823071,-2.289809561
2005,URY,80+,4.409516138,-2.140409035
2010,URY,0-4,6.650245032,-7.4876798
2010,URY,5-9,7.012118569,-7.865408682
2010,URY,10-14,7.314867325,-8.166418142
2010,URY,15-19,7.506606289,-8.386631301
2010,URY,20-24,7.063888664,-7.828160846
2010,URY,25-29,6.558253998,-7.150781463
2010,URY,30-34,6.94684573,-7.464639264
2010,URY,35-39,6.580490431,-6.991659697
2010,URY,40-44,6.022108876,-6.162323968
2010,URY,45-49,6.120305426,-6.170045327
2010,URY,50-54,5.845424035,-5.756612881
2010,URY,55-59,5.113747689,-5.016227208
2010,URY,60-64,4.684360432,-4.324949379
2010,URY,65-69,4.158615296,-3.621688
2010,URY,70-74,3.748649007,-2.859126585
2010,URY,75-79,3.378329073,-2.319558017
2010,URY,80+,5.295144126,-2.428089439
2015,URY,0-4,6.588535283,-7.37662183
2015,URY,5-9,6.486516477,-7.2915502
2015,URY,10-14,6.845563795,-7.666959151
2015,URY,15-19,7.1404106,-7.953042891
2015,URY,20-24,7.268132258,-8.085511572
2015,URY,25-29,6.801461326,-7.467526943
2015,URY,30-34,6.340281973,-6.833014112
2015,URY,35-39,6.757868384,-7.161876729
2015,URY,40-44,6.400179807,-6.753229076
2015,URY,45-49,5.846606063,-5.927669669
2015,URY,50-54,5.913014531,-5.878267358
2015,URY,55-59,5.601183463,-5.407395884
2015,URY,60-64,4.846176361,-4.591619715
2015,URY,65-69,4.347122102,-3.800149726
2015,URY,70-74,3.734952651,-3.009591219
2015,URY,75-79,3.200061596,-2.167321313
2015,URY,80+,5.88193333,-2.628652611
2018,URY,0-4,6.561787777,-7.335173282
2018,URY,5-9,6.409828108,-7.176339607
2018,URY,10-14,6.512909565,-7.299383161
2018,URY,15-19,6.882242748,-7.664850738
2018,URY,20-24,7.11906665,-7.889980207
2018,URY,25-29,7.015032292,-7.728324158
2018,URY,30-34,6.448000197,-6.983937682
2018,URY,35-39,6.378158166,-6.773220342
2018,URY,40-44,6.602033827,-6.952951604
2018,URY,45-49,6.034833573,-6.237629589
2018,URY,50-54,5.711688058,-5.673034426
2018,URY,55-59,5.704513275,-5.520506058
2018,URY,60-64,5.135014848,-4.809747884
2018,URY,65-69,4.404980645,-3.920819762
2018,URY,70-74,3.833688522,-3.089480106
2018,URY,75-79,3.170077118,-2.23123781
2018,URY,80+,6.07614463,-2.713383584